epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.35333332419395447,0.0010000000474974513,1.5691337585449219,0.4399999976158142,1.2513147592544556
1,0.5058333277702332,0.0010000000474974513,1.2449378967285156,0.5,1.142809271812439
2,0.5641666650772095,0.0010000000474974513,1.1303945779800415,0.5199999809265137,1.0545657873153687
3,0.6112499833106995,0.0010000000474974513,1.0241600275039673,0.6100000143051147,0.916476309299469
4,0.6429166793823242,0.0010000000474974513,0.9435144066810608,0.6100000143051147,0.938301682472229
5,0.67166668176651,0.0010000000474974513,0.89630126953125,0.6899999976158142,0.8586153388023376
6,0.6883333325386047,0.0010000000474974513,0.8421161770820618,0.6700000166893005,0.8226892948150635
7,0.7087500095367432,0.0010000000474974513,0.8073839545249939,0.6600000262260437,0.810240626335144
8,0.7283333539962769,0.0010000000474974513,0.7521730065345764,0.7699999809265137,0.7646639943122864
9,0.7404166460037231,0.0010000000474974513,0.737443745136261,0.7300000190734863,0.7210698127746582
10,0.7666666507720947,0.0010000000474974513,0.6885426640510559,0.75,0.7252494692802429
11,0.7741666436195374,0.0010000000474974513,0.6654214262962341,0.7599999904632568,0.728827953338623
