epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.2721875011920929,0.0010000000474974513,2.1002700328826904,0.36000001430511475,1.8184595108032227
1,0.39156249165534973,0.0010000000474974513,1.7366403341293335,0.4099999964237213,1.7029175758361816
2,0.43843749165534973,0.0010000000474974513,1.6139363050460815,0.4399999976158142,1.6037691831588745
3,0.4806250035762787,0.0010000000474974513,1.525574803352356,0.4650000035762787,1.6077688932418823
4,0.5068749785423279,0.0010000000474974513,1.4471478462219238,0.45500001311302185,1.6300652027130127
5,0.5218750238418579,0.0010000000474974513,1.3966864347457886,0.45500001311302185,1.5831702947616577
6,0.5537499785423279,0.0010000000474974513,1.3362748622894287,0.47999998927116394,1.5998191833496094
7,0.5737500190734863,0.0010000000474974513,1.2988526821136475,0.49000000953674316,1.5747478008270264
8,0.5834375023841858,0.0010000000474974513,1.2587624788284302,0.4399999976158142,1.6220669746398926
9,0.5840625166893005,0.0010000000474974513,1.2348620891571045,0.4749999940395355,1.5383055210113525
10,0.6087499856948853,0.0010000000474974513,1.1866735219955444,0.4950000047683716,1.6234445571899414
11,0.6181250214576721,0.0010000000474974513,1.165013074874878,0.4699999988079071,1.5863374471664429
