epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.7522916793823242,0.0010000000474974513,0.5320641398429871,0.7766666412353516,0.4515104293823242
1,0.8222916722297668,0.0010000000474974513,0.4084363579750061,0.7666666507720947,0.4367884695529938
2,0.8416666388511658,0.0010000000474974513,0.3677409589290619,0.7933333516120911,0.4504321813583374
3,0.8566666841506958,0.0010000000474974513,0.3496815264225006,0.8066666722297668,0.40649181604385376
4,0.8770833611488342,0.0010000000474974513,0.3109881281852722,0.8199999928474426,0.39480042457580566
5,0.878333330154419,0.0010000000474974513,0.3033808469772339,0.8133333325386047,0.3876078128814697
6,0.8962500095367432,0.0010000000474974513,0.277967244386673,0.8199999928474426,0.4042055010795593
7,0.9039583206176758,0.0010000000474974513,0.2683466970920563,0.800000011920929,0.4212076961994171
8,0.9072916507720947,0.0010000000474974513,0.2590866982936859,0.8033333420753479,0.42673900723457336
9,0.924791693687439,0.0005000000237487257,0.22412753105163574,0.8133333325386047,0.4059274196624756
10,0.9279166460037231,0.0005000000237487257,0.2171042412519455,0.8033333420753479,0.3944622576236725
